Ты сильный? | bist du stark?
Она молодая? | ist sie jung?
Он сильный? | ist er stark?
Твой папа умный? | ist dein Vater klug?
Ее мама красивая? | ist ihre Mutter schön?
У вас есть квартира? | habt ihr eine Wohnung?
У тебя есть машина? | hast du ein Auto?
У твоего папы есть сестра? | hat dein Vater eine Schwester?
У его сестры есть кошка? | hat seine Schwester eine Katze?
Ты спишь? | schläfst du?
Он ездит быстро? | fährt er schnell?
Ты покупаешь мою машину? | kaufst du mein Auto?
Она поет хорошо? | singt sie gut?
Ты едешь? | fährst du?
Вы пьете чай? | trinkt ihr Tee?
Ты читаешь? | liest du?
Ты хочешь поиграть? | willst du spielen?
Ей можно здесь бегать? | darf sie hier rennen?
Вы можете помочь? | könnt ihr helfen?
Ты хочешь тоже заказать? | willst du auch bestellen?
Должен ли я помочь? | muss ich helfen?
Ты должен учить немецкий? | musst du Deutsch lernen?
Почему ты такой сильный? | warum bist du so stark?
Почему он такой слабый? | warum ist er so schwach?
Сколько у тебя твоя машина? | wie viel kostet dein Auto?
Когда ты спишь? | wann schläfst du?
Где ты покупаешь машину? | wo kaufst du das Auto?
Где ты едешь? | wohin fährst du?
Где ты хочешь играть? | wo willst du spielen?
Кому можно здесь бегать? | wer darf hier rennen?
Когда вы можете помочь? | wann könnt ihr helfen?
Что ты хочешь заказать? | was willst du bestellen?
Кому я должен помочь? | wem muss ich helfen?
Почему я должен учить немецкий? | warum muss ich Deutsch lernen?
Кто хочет танцевать? | wer will tanzen?
Что ты хочешь заказать? | was willst du bestellen?
Кому ты даришь машину? | wem schenkst du das Auto?
Где он живет? | wo wohnt er?
Где она играет? | wo spielt sie?
Как долго он учит немецкий? | wie lange lernt er Deutsch?
Как тебя зовут? | wie heißt du?
Где ты живешь? | wo wohnst du?
Что ты делаешь? | was machst du?
Кому ты помогаешь? | wem hilfst du?
Кого ты любишь? | wen liebst du?
Откуда ты едешь? | woher kommst du?
Куда ты идешь? | wohin gehst du?
Сколько ты уже учишь немецкий? | wie lange lernst du schon Deutsch?
Сколько ты спишь? | wie lange schläfst du?
Когда ты приедешь? | wann kommst du an?
Как его зовут? | wie heißt er?
Где он живет? | wo wohnt er?
Что он делает? | was macht er?
Кому он помогает? | wem hilft er?
Кого он любит? | wen liebt er?
Откуда он едет? | woher kommt er?
Куда он идет? | wohin geht er?
Сколько он уже учит немецкий? | wie lange lernt er schon Deutsch?
Сколько он спит? | wie lange schläft er?
Когда он приедет? | wann kommt er an?
