Ты не веселый. | du bist nicht lustig
Он не берет книгу. | er nimmt das Buch nicht
Она не далеко. | sie ist nicht weit
У нее нет велосипеда. | sie hat kein Fahrrad
Они не старые. | sie sind nicht alt
У него нет пальто. | er hat keinen Mantel
Он никогда не работает. | er arbeitet nie
У меня нет ручки. | ich habe keinen Kuli
Фильм не скучный. | der Film ist nicht langweilig
У меня нет книги. | ich habe kein Buch
У нее нет машины. | sie hat kein Auto
У нас нет дома. | wir haben kein Haus
У тебя нет друга. | du hast keinen Freund
У них нет квартиры. | sie haben keine Wohnung
Он спит не много. | er schläft nicht viel
Это не мое платье. | das ist nicht mein Kleid
Она не дает машину. | sie gibt das Auto nicht
Это не наше пальто. | das ist nicht unser Mantel
Она ничего не ест. | sie isst nichts
Ты едешь не медленно. | du fährst nicht langsam
Ему нельзя спросить. | er darf nicht fragen
Это не их рубашка. | das ist nicht ihr Hemd
Он не любит петь. | er singt nicht gern
Это не ваш шарф. | das ist nicht euer Schal
Автобус не медленный. | der Bus ist nicht langsam
Они не хотят помочь. | sie wollen nicht helfen
Это не твоя футболка. | das ist nicht dein T-Shirt
Это не ее блузка. | das ist nicht ihre Bluse
Мы не спим. | wir schlafen nicht
У нее нет юбки. | sie hat keinen Rock
Она не танцует. | sie tanzt nicht
Она не хочет танцевать. | sie will nicht tanzen
Она не хочет танцевать с дедушкой. | sie will mit dem Opa nicht tanzen
Я не хочу работать. | ich will nicht arbeiten
Я не хочу сегодня работать. | ich will heute nicht arbeiten
Я никогда не хочу работать. | ich will nie arbeiten
Мы не слышим. | wir hören nicht
Они не хотят слушать. | sie wollen nicht zuhören
Он не говорит. | er spricht nicht
Он не хочет говорить. | er will nicht sprechen
Он не хочет говорить со своим другом. | er will mit seinem Freund nicht sprechen
Мы не едем. | wir fahren nicht
Мы не хотим ехать. | wir wollen nicht fahren
Мы не хотим ехать с родителями. | wir wollen mit den Eltern nicht fahren
