Он танцевал хорошо. | er tanzte gut
Вы сидели далеко. | ihr saßt weit
Она пела громко. | sie sang laut
Вы шли быстро. | ihr gingt schnell
Ты получал много. | du bekamst viel
Он получал мало. | er bekam wenig
Мы купили дешево. | wir kauften billig
Вы продали дорого. | ihr verkauftet teuer
Они играли хорошо. | sie spielten gut
Я заказал книгу. | ich bestellte das Buch
Она писала быстро. | sie schrieb schnell
Он дал мне книгу. | er gab mir das Buch
Она взяла машину. | sie nahm das Auto
Ты забывал часто. | du vergaßst oft
Мы говорили тихо. | wir sprachen leise
Ты бросал далеко. | du warfst weit
Ты ловил кошку. | du fingst die Katze
Мы приехали поздно. | wir kamen spät an
Они приехали рано. | sie kamen früh an
Мы путешествовали много. | wir reisten viel
Вы никогда не путешествовали. | ihr reistet nie
Ты носил костюм. | du trugst den Anzug
Ты бегал медленно. | du liefst langsam
Ты спал много. | du schliefst viel
