Что случилось? | was ist passiert?
Он уже все попробовал. | er hat schon alles probiert
Она училась в Москве. | sie studierte in Moskau
Я его не простил. | ich habe ihm nicht verziehen
Она продала свою квартиру. | sie verkaufte ihre Wohnung
Он забыл все слова. | er vergaß alle Wörter
Они раньше хорошо общались. | sie kommunizierten früher gut
Я перевел текст во вторник. | ich übersetzte den Text am Dienstag
Я ей ничего не рассказал. | ich erzählte ihr nichts
Она мне ничего не советовала. | sie riet mir nichts
Мы начали вчера. | wir begannen gestern
Когда ты переехал? | wann bist du umgezogen?
Ты взял с собой пирог? | hast du den Kuchen mitgenommen?
Ты уже закупился? | hast du schon eingekauft?
Мы пересели. | wir setzten uns um
Мы вышли из автобуса. | wir stiegen aus dem Bus aus
Мы сели на поезд. | wir stiegen in den Zug ein
Он отъехал. | er fuhr weg
Он вернулся в четверг. | er kam am Donnerstag zurück
Мы начали в среду. | wir begannen am Mittwoch
