Это стол. | das ist ein Tisch
У меня есть стол. | ich habe einen Tisch
Это стул. | das ist ein Stuhl
У меня есть стул. | ich habe einen Stuhl
Это шкаф. | das ist ein Schrank
У меня есть шкаф. | ich habe einen Schrank
Это кровать. | das ist ein Bett
У тебя есть кровать. | du hast ein Bett
Это ручка. | das ist ein Kuli
У тебя есть ручка. | du hast einen Kuli
Это линейка. | das ist ein Lineal
У него есть линейка. | er hat ein Lineal
Это сумка. | das ist eine Tasche
У него есть сумка. | er hat eine Tasche
Это чайник. | das ist ein Wasserkocher
У нее есть чайник. | sie hat einen Wasserkocher
Это вилка. | das ist eine Gabel
У нее есть вилка. | sie hat eine Gabel
Это ножик. | das ist ein Messer
У нее есть ножик. | sie hat ein Messer
Это стакан. | das ist ein Glas
У нас есть стакан. | wir haben ein Glas
Это тарелка. | das ist ein Teller
У нас есть тарелка. | wir haben einen Teller
Это бокал. | das ist ein Weinglas
У них есть бокал. | sie haben ein Weinglas
Это чашка. | das ist eine Tasse
У вас есть чашка. | ihr habt eine Tasse
Это ложка. | das ist ein Löffel
Я покупаю ложку. | ich kaufe einen Löffel
Это ножик. | das ist ein Messer
Я покупаю ножик. | ich kaufe ein Messer
Это тарелка. | das ist ein Teller
Я покупаю тарелку. | ich kaufe einen Teller
Это бокал. | das ist ein Weinglas
Я покупаю бокал. | ich kaufe ein Weinglas
Это стакан. | das ist ein Glas
Я покупаю стакан. | ich kaufe ein Glas
Это чашка. | das ist eine Tasse
Ты покупаешь чашку. | du kaufst eine Tasse
Это вилка. | das ist eine Gabel
Ты покупаешь вилку. | du kaufst eine Gabel
Это чайник. | das ist ein Wasserkocher
Ты покупаешь чайник. | du kaufst einen Wasserkocher
Это кровать. | das ist ein Bett
Он покупает кровать. | er kauft ein Bett
Это карандаш. | das ist ein Bleistift
Он покупает карандаш. | er kauft einen Bleistift
Это ручка. | das ist ein Kuli
Она покупает ручку. | sie kauft einen Kuli
Это ножик. | das ist ein Messer
Она покупает ножик. | sie kauft ein Messer
Это стол. | das ist ein Tisch
Мы покупаем стол. | wir kaufen einen Tisch
Это стул. | das ist ein Stuhl
Мы покупаем стул. | wir kaufen einen Stuhl
Это ботинки. | das sind Schuhe
Вы покупаете ботинки. | ihr kauft Schuhe
Это джинсы. | das sind Jeans
Вы покупаете джинсы. | ihr kauft Jeans
Я продаю свою машину. | ich verkaufe mein Auto
Моя машина новая. | mein Auto ist neu
Ты продаешь свой стол. | du verkaufst deinen Tisch
Твой стол большой. | dein Tisch ist groß
Мы продаем свою квартиру. | wir verkaufen unsere Wohnung
Наша квартира маленькая. | unsere Wohnung ist klein
Она продает свою ручку. | sie verkauft ihren Kuli
Ее ручка дорогая. | ihr Kuli ist teuer
Вы продаете свой дом. | ihr verkauft euer Haus
Ваш дом старый. | euer Haus ist alt
Они продают свой чайник. | sie verkaufen ihren Wasserkocher
Их чайник красивый. | ihr Wasserkocher ist schön
Вы продаете свой шкаф. | ihr verkauft euren Schrank
Ваш шкаф большой. | euer Schrank ist groß
Я продаю свою тарелку. | ich verkaufe meinen Teller
Моя тарелка круглая. | mein Teller ist rund
Ты продаешь свой костюм. | du verkaufst deinen Anzug
Твой костюм синий. | dein Anzug ist blau
Он продает свое пальто. | er verkauft seinen Mantel
Его пальто черное. | sein Mantel ist schwarz
Она продает свою юбку. | sie verkauft ihren Rock
Ее юбка широкая. | ihr Rock ist breit
Мы продаем свою шляпу. | wir verkaufen unseren Hut
Наша шляпа круглая. | unser Hut ist rund
Вы продаете свою рубашку. | ihr verkauft euer Hemd
Ваша рубашка белая. | euer Hemd ist weiß
Они продают свой автобус. | sie verkaufen ihren Bus
Их автобус красный. | ihr Bus ist rot
Вы продаете свое пальто. | ihr verkauft euren Mantel
Ваше пальто дешевое. | euer Mantel ist billig
