Когда она приедет? | wann kommt sie an?
Когда она приедет, мы пойдем в кино. | wenn sie ankommt, gehen wir ins Kino
Когда ты сделаешь домашнюю работу? | wann machst du die Hausaufgaben?
Если ты сделаешь домашнюю работу, ты можешь пойти погулять. | wenn du die Hausaufgaben machst, kannst du spazieren gehen
Когда мы поедем в Швейцарию? | wann fahren wir in die Schweiz?
Когда мы поедем в Швейцарию, мы будем есть шоколад каждый день. | wenn wir in die Schweiz fahren, werden wir jeden Tag Schokolade essen
Когда ты станешь богатым? | wann wirst du reich?
Когда ты станешь богатым, ты не должен будешь больше экономить. | wenn du reich wirst, musst du nicht mehr sparen
Когда она была в США? | wann war sie in den USA?
Всегда, когда она была в США, она хорошо проводила свободное время. | immer wenn sie in den USA war, verbrachte sie ihre Freizeit gut
Когда ты был в последний раз в Турции? | wann warst du das letzte Mal in der Türkei?
Когда ты был в первый раз в Турции? | wann warst du zum ersten Mal in der Türkei?
Всегда, когда она ездила в Турцию, она покупала много одежды. | immer wenn sie in die Türkei fuhr, kaufte sie viel Kleidung
Всегда когда он едет в Турцию, он постоянно играет в пляжный волейбол. | immer wenn er in die Türkei fährt, spielt er ständig Beachvolleyball
Когда я был в Германии, я много говорил по-немецки. | als ich in Deutschland war, sprach ich viel Deutsch
Всегда, когда я ездил в Германию, я говорил только по-немецки. | immer wenn ich nach Deutschland fuhr, sprach ich nur Deutsch
Когда мы были в Турции, мы хорошо отдохнули. | als wir in der Türkei waren, erholten wir uns gut
Всегда, когда мы летали в Турцию, мы хорошо проводили время. | immer wenn wir in die Türkei flogen, verbrachten wir eine schöne Zeit
Когда я купил мою первую машину, я сразу поехал в Европу. | als ich mein erstes Auto kaufte, fuhr ich sofort nach Europa
Когда я покупаю новую машину, я всегда езжу в Европу. | wenn ich ein neues Auto kaufe, fahre ich immer nach Europa
Когда я был моложе, я был очень целеустремлен. | als ich jünger war, war ich sehr zielstrebig
Когда я стану старше, я буду меньше работать. | wenn ich älter werde, werde ich weniger arbeiten
Когда он стал богатым, он не захотел с нами общаться. | als er reich wurde, wollte er nicht mehr mit uns kommunizieren
Всегда, когда он продавал свои квартиры, он становился все богаче. | immer wenn er seine Wohnungen verkaufte, wurde er immer reicher
Когда мы купим новую квартиру, мы будем счастливы. | wenn wir eine neue Wohnung kaufen, werden wir glücklich sein
Когда мы купили новую квартиру, мы были счастливы. | als wir eine neue Wohnung kauften, waren wir glücklich
Когда я учил немецкий, я думал, что никогда не смогу говорить. | als ich Deutsch lernte, dachte ich, dass ich nie sprechen können werde
Когда я буду учить английский, у меня не будет свободного времени. | wenn ich Englisch lernen werde, werde ich keine Freizeit haben
Когда мы смотрели этот фильм в первый раз, он нам не понравился. | als wir diesen Film zum ersten Mal sahen, gefiel er uns nicht
Всегда когда она смотрела этот фильм, она долго плакала. | immer wenn sie diesen Film sah, weinte sie lange
Когда я читал эту книгу в первый раз, я был совсем другим. | als ich dieses Buch zum ersten Mal las, war ich ganz anders
Когда я читаю эту книгу, я становлюсь все сильнее. | wenn ich dieses Buch lese, werde ich immer stärker
Когда мы в 2000 году были в России, она была совсем другой. | als wir im Jahr 2000 in Russland waren, war es ganz anders
Когда мы ездили в Россию, мы всегда посещали разные города. | wenn wir nach Russland fuhren, besuchten wir immer verschiedene Städte
Когда я был ребенком, я хотел увидеть мир. | als ich ein Kind war, wollte ich die Welt sehen
Всегда когда я знакомился с новыми людьми, мне было очень интересно. | immer wenn ich neue Leute kennenlernte, war es sehr interessant für mich
Когда я в последний раз был в Германии, там было слишком холодно. | als ich das letzte Mal in Deutschland war, war es zu kalt
Когда я в последний раз был в Чехии, все было слишком дорого. | als ich das letzte Mal in Tschechien war, war alles zu teuer
Когда я поеду Францию, я куплю велосипед. | wenn ich nach Frankreich fahre, kaufe ich ein Fahrrad
Когда я в первый раз был в Турции, там было слишком жарко. | als ich zum ersten Mal in der Türkei war, war es zu heiß
Когда он поедет в Германию, он купит булочку. | wenn er nach Deutschland fährt, kauft er ein Brötchen
Когда я приехал во Францию, я был слишком молод. | als ich nach Frankreich kam, war ich zu jung
Когда я приехал в Берлин, там было слишком много иностранцев. | als ich nach Berlin kam, gab es zu viele Ausländer
Когда он поедет в Турцию, он купит бутылку вина. | wenn er in die Türkei fährt, kauft er eine Flasche Wein
