Фильм становится скучным. | der Film wird langweilig
Когда я стану большим? | wann werde ich groß?
Она хочет стать учительницей. | sie will Lehrerin werden
Мы хотим стать умными. | wir wollen klug werden
Ты должен стать старательным. | du musst fleißig werden
Книга становится интересной. | das Buch wird interessant
Мы будем работать лучше, чем они! | wir werden besser arbeiten als sie!
Когда я стану взрослым? | wann werde ich erwachsen?
Он хочет скорее стать взрослым. | er will schnell erwachsen werden
Мы становимся старыми. | wir werden alt
Она становится смелой. | sie wird mutig
Вечеринка становится все лучше. | die Party wird immer besser
Фильм становится все скучнее. | der Film wird immer langweiliger
Немецкий становится все легче. | Deutsch wird immer leichter
Ты становишься все злее. | du wirst immer wütender
Настроение становится все лучше. | die Stimmung wird immer besser
Погода будет завтра лучше, чем сегодня. | das Wetter wird morgen besser sein als heute
Погода завтра будет хуже, чем сегодня. | das Wetter wird morgen schlechter sein als heute
Теперь я всегда буду тебе помогать. | jetzt werde ich dir immer helfen
Они наверняка победят. | sie werden bestimmt gewinnen
Возможно, сегодня они опять проиграют. | vielleicht verlieren sie heute wieder
Вероятно, это будет лучшая неделя в моей жизни. | wahrscheinlich wird das die beste Woche in meinem Leben sein
Что ты будешь делать в следующем году? | was wirst du nächstes Jahr machen?
В следующем году я, возможно, буду зарабатывать больше. | nächstes Jahr werde ich vielleicht mehr verdienen
В следующем году она будет лучше учиться. | nächstes Jahr wird sie besser lernen
В следующем году я буду вставать раньше. | nächstes Jahr werde ich früher aufstehen
Когда-нибудь она будет говорить по-немецки также хорошо, как ты. | eines Tages wird sie genauso gut Deutsch sprechen wie du
Когда-нибудь он будет много зарабатывать. | eines Tages wird er viel verdienen
Когда-нибудь она будет жить в Германии. | eines Tages wird sie in Deutschland leben
В следующем году я буду больше работать. | nächstes Jahr werde ich mehr arbeiten
Я буду учить немецкий еще года три. | ich werde noch etwa drei Jahre Deutsch lernen
Они будут радоваться. | sie werden sich freuen
Мы приедем десятого октября. | wir kommen am zehnten Oktober an
Он должен приехать третьего апреля. | er muss am dritten April ankommen
Первого марта я поеду во Францию. | am ersten März fahre ich nach Frankreich
Когда вы едете в Германию? | wann fahrt ihr nach Deutschland?
Мы едем в Германию завтра. | wir fahren morgen nach Deutschland
Когда ты хочешь отдохнуть? | wann willst du dich erholen?
Я хочу отдохнуть в мае. | ich will mich im Mai erholen
В этом году я точно куплю себе машину. | dieses Jahr kaufe ich mir bestimmt ein Auto
Я подойду в три. | ich komme um drei
В этом году я точно выиграю! | dieses Jahr gewinne ich bestimmt!
