Она пьет холодную воду. | sie trinkt kaltes Wasser
Ты пьешь теплое молоко. | du trinkst warme Milch
Они любят вареную картошку. | sie mögen gekochte Kartoffeln
Мой брат любит зеленые яблоки. | mein Bruder mag grüne Äpfel
Я люблю спелые фрукты. | ich mag reife Früchte
Его сестра ест только свежий хлеб. | seine Schwester isst nur frisches Brot
Мы гуляем только при хорошей погоде. | wir gehen nur bei gutem Wetter spazieren
Мама приготовила вкусный суп. | die Mutter hat eine leckere Suppe gekocht
Хорошая погода улучшает настроение. | gutes Wetter verbessert die Stimmung
Тяжелая тренировка делает тебя сильнее. | hartes Training macht dich stärker
Это красивая рубашка. | das ist ein schönes Hemd
Я купил красивую рубашку для своего брата. | ich kaufte ein schönes Hemd für meinen Bruder
Мой брат был доволен своей красивой рубашкой. | mein Bruder war mit seinem schönen Hemd zufrieden
Это новая машина. | das ist ein neues Auto
Я уже давно хотел купить новую машину. | ich wollte schon lange ein neues Auto kaufen
Мы приехали на нашей новой машине. | wir kamen mit unserem neuen Auto an
Наша новая машина понравилась моим хорошим друзьям. | unser neues Auto gefiel meinen guten Freunden
Это старая квартира. | das ist eine alte Wohnung
Он хочет продать свою старую квартиру. | er will seine alte Wohnung verkaufen
Он жил в своей старой квартире пять лет. | er wohnte fünf Jahre in seiner alten Wohnung
Она купила красивую сумку в новом магазине. | sie kaufte eine schöne Tasche in einem neuen Geschäft
Кошка сидит на ее красивой сумке. | die Katze sitzt auf ihrer schönen Tasche
Это черное пальто. | das ist ein schwarzer Mantel
Он купил черное пальто в феврале. | er kaufte im Februar einen schwarzen Mantel
Он не может найти свое черное пальто. | er kann seinen schwarzen Mantel nicht finden
Он живет в своем огромном доме. | er wohnt in seinem riesigen Haus
Его огромный дом находится в большом городе. | sein riesiges Haus befindet sich in einer großen Stadt
Я надеваю мою новую черную рубашку. | ich ziehe mein neues schwarzes Hemd an
Она надевает свое новое красное платье. | sie zieht ihr neues rotes Kleid an
Он надевает свою новую коричневую шляпу. | er zieht seinen neuen braunen Hut auf
Мы поедем на нашей новой большой машине. | wir fahren mit unserem neuen großen Auto
Он кладет новые письма на большой стол. | er legt die neuen Briefe auf den großen Tisch
Новые письма лежат на большом столе. | die neuen Briefe liegen auf dem großen Tisch
Она вешает красивую картину на белую стену. | sie hängt ein schönes Bild an die weiße Wand
Красивая картина висит на белой стене. | das schöne Bild hängt an der weißen Wand
Я ложусь на новый диван. | ich lege mich auf das neue Sofa
Я сплю только на новом диване. | ich schlafe nur auf dem neuen Sofa
Я покупаю дорогую квартиру. | ich kaufe eine teure Wohnung
Теперь я живу в дорогой квартире. | jetzt wohne ich in einer teuren Wohnung
Он покупает огромный дом. | er kauft ein riesiges Haus
Теперь он живет в огромном доме. | jetzt wohnt er in einem riesigen Haus
Она покупает только дешевые продукты. | sie kauft nur billige Lebensmittel
Он никогда не выходит из дома без нового зонтика. | er geht nie ohne neuen Regenschirm aus dem Haus
Ему очень нравится новый зонтик. | der neue Regenschirm gefällt ihm sehr
Он разговаривает с красивой девушкой. | er spricht mit einem schönen Mädchen
Красивая девушка всегда улыбается. | das schöne Mädchen lächelt immer
Это машина красивой девушки. | das ist das Auto eines schönen Mädchens
Это лошадь храброго парня. | das ist das Pferd eines mutigen Jungen
Это квартира моей новой подружки. | das ist die Wohnung meiner neuen Freundin
Это дом ее старого друга. | das ist das Haus ihres alten Freundes
Это три страницы нового учебника. | das sind drei Seiten des neuen Lehrbuchs
Это большой багажник красивой машины. | das ist der große Kofferraum eines schönen Autos
