Я должен помыться. | ich muss mich waschen
Я должен помыть свою машину. | ich muss mein Auto waschen
Он сейчас моется. | er wäscht sich gerade
Когда ты помоешь свою машину? | wann wäschst du dein Auto?
Как ты себя чувствуешь? | wie fühlst du dich?
Я чувствую себя отлично! | ich fühle mich großartig!
Как Вы себя чувствуете? | wie fühlen Sie sich?
Она плохо себя чувствует. | sie fühlt sich schlecht
Он побреется завтра. | er rasiert sich morgen
Я хочу побриться. | ich will mich rasieren
Почему ты так долго бреешься? | warum rasierst du dich so lange?
Он садится на стул. | er setzt sich auf den Stuhl
Вы можете сесть. | ihr könnt euch setzen
Садитесь пожалуйста! | setzen Sie sich bitte!
Ей надо одеться. | sie muss sich anziehen
Они одеваются. | sie ziehen sich an
Мы сейчас оденемся. | wir ziehen uns jetzt an
Мама одевает своего сына. | die Mutter zieht ihren Sohn an
Я радуюсь весь день. | ich freue mich den ganzen Tag
Мы радуемся каждый день. | wir freuen uns jeden Tag
Почему ты не радуешься? | warum freust du dich nicht?
Сын радует отца. | der Sohn freut den Vater
Когда вы встречаетесь? | wann trefft ihr euch?
Мы встречаемся завтра. | wir treffen uns morgen
Они встречаются в парке. | sie treffen sich im Park
Ты отдыхаешь в парке. | du erholst dich im Park
Когда ты отдыхаешь? | wann erholst du dich?
Ты хочешь отдохнуть? | willst du dich erholen?
Ты должен больше отдыхать! | du musst dich mehr erholen!
Мы хотим повеселиться. | wir wollen uns amüsieren
Почему вы так веселитесь? | warum amüsiert ihr euch so?
Мы не хотим веселиться. | wir wollen uns nicht amüsieren
Я не сомневаюсь! | ich zweifle nicht!
Он умеет хорошо отдыхать. | er kann sich gut erholen
Ты не должен сомневаться. | du darfst nicht zweifeln
Я увольняюсь! | ich kündige!
Он хочет уволиться. | er will kündigen
Он никогда не сомневается. | er zweifelt nie
Где ты хочешь отдыхать? | wo willst du dich erholen?
Когда ты сможешь отдохнуть? | wann kannst du dich erholen?
Он редко сомневается. | er zweifelt selten
Почему ты увольняешься? | warum kündigst du?
Мы не хотим увольняться. | wir wollen nicht kündigen
Они отдыхают в парке. | sie erholen sich im Park
Почему ты всегда сомневаешься? | warum zweifelst du immer?
Мы не сомневаемся. | wir zweifeln nicht
Ты представишь свою подругу? | wirst du deine Freundin vorstellen?
Сначала ты должен представиться. | zuerst musst du dich vorstellen
Когда ты представишь нам своих друзей? | wann stellst du uns deine Freunde vor?
Ты должен это себе представить! | du musst dir das vorstellen!
Она не может себе этого представить. | sie kann sich das nicht vorstellen
Мы не можем себе этого представить. | wir können uns das nicht vorstellen
Она представляет себе свое будущее. | sie stellt sich ihre Zukunft vor
Он представляет своего друга. | er stellt seinen Freund vor
Мы должны представить наших друзей. | wir müssen unsere Freunde vorstellen
Ты представляешь? | kannst du dir das vorstellen?
Ты можешь это себе представить? | kannst du dir das vorstellen?
Я представляю свою семью. | ich stelle meine Familie vor
Я представлюсь немного позже. | ich stelle mich etwas später vor
Она должна сначала представиться. | sie muss sich zuerst vorstellen
Я всегда стараюсь! | ich bemühe mich immer!
Почему ты не стараешься? | warum bemühst du dich nicht?
