Ему можно быстро бегать. | er darf schnell laufen
Она умеет красиво петь. | sie kann schön singen
Нам можно громко петь. | wir dürfen laut singen
Он умеет быстро бегать. | er kann schnell laufen
Им можно тихо поиграть. | sie dürfen leise spielen
Ему можно спросить. | er darf fragen
Мы умеем хорошо танцевать. | wir können gut tanzen
Я могу ответить. | ich kann antworten
Она может быстро читать. | sie kann schnell lesen
Он может много выпить. | er kann viel trinken
Отец умеет быстро ездить. | der Vater kann schnell fahren
Мама умеет хорошо готовить. | die Mutter kann gut kochen
Дедушка может долго спать. | der Opa kann lange schlafen
Брат может высоко прыгать. | der Bruder kann hoch springen
Он обязан учить немецкий. | er soll Deutsch lernen
Она обязана хорошо танцевать. | sie soll gut tanzen
Я должен хорошо учиться. | ich muss gut lernen
Я должен сегодня играть. | ich muss heute spielen
Ты обязан завтра помочь. | du sollst morgen helfen
Она должна сегодня написать. | sie muss heute schreiben
Вам надо покушать. | ihr müsst essen
Они обязаны прийти! | sie sollen kommen
Ты должен помочь. | du musst helfen
Мы обязаны работать. | wir müssen arbeiten
Ты обязан учить немецкий! | du sollst Deutsch lernen
Она обязана помочь. | sie soll helfen
Тебе надо учить немецкий. | du musst Deutsch lernen
Я люблю пиццу. | ich mag Pizza
Я хочу купить пиццу. | ich will Pizza kaufen
Я хотел бы заказать пиццу. | ich möchte Pizza bestellen
Она любит учить английский. | sie mag Englisch lernen
Он хотел бы учить немецкий. | er möchte Deutsch lernen
Она хотела бы танцевать. | sie möchte tanzen
Мы хотим сегодня купить велосипед. | wir wollen heute ein Fahrrad kaufen
Он хочет есть. | er will essen
Ты любишь петь. | du magst singen
Я хочу пить. | ich will trinken
Мы хотим купить машину. | wir wollen ein Auto kaufen
Мы хотели бы выпить колы. | wir möchten Cola trinken
Они хотят помочь. | sie wollen helfen
Я люблю учить немецкий. | ich mag Deutsch lernen
Вы любите танцевать. | ihr mögt tanzen
Они хотят купить машину. | sie wollen ein Auto kaufen
