Ты ешь много. | du isst viel
Она ест мало. | sie isst wenig
Ты даешь книгу. | du gibst das Buch
Она дает машину. | sie gibt das Auto
Ты берешь машину. | du nimmst das Auto
Он берет книгу. | er nimmt das Buch
Ты встречаешь подругу. | du triffst die Freundin
Он встречает маму. | er trifft die Mutter
Ты говоришь быстро. | du sprichst schnell
Она говорит медленно. | sie spricht langsam
Ты забываешь редко. | du vergisst selten
Он забывает часто. | er vergisst oft
Ты помогаешь сегодня. | du hilfst heute
Он помогает завтра. | er hilft morgen
Ты говоришь громко. | du sprichst laut
Она говорит тихо. | sie spricht leise
Ты бросаешь далеко. | du wirfst weit
Она бросает близко. | sie wirft nah
Ты видишь хорошо. | du siehst gut
Она видит плохо. | sie sieht schlecht
Ты читаешь правильно. | du liest richtig
Она читает неправильно. | sie liest falsch
Ты бегаешь медленно. | du läufst langsam
Она бегает быстро. | sie läuft schnell
Ты падаешь часто. | du fällst oft
Она падает редко. | sie fällt selten
Ты спишь много. | du schläfst viel
Он спит мало. | er schläft wenig
Ты растешь быстро. | du wächst schnell
Она растет медленно. | sie wächst langsam
Ты моешь машину. | du wäschst das Auto
Она моет квартиру. | sie wäscht die Wohnung
Ты едешь быстро. | du fährst schnell
Она едет медленно. | sie fährt langsam
Ты ловишь книгу. | du fängst das Buch
Она ловит кошку. | sie fängt die Katze
Она спит долго. | sie schläft lange
Он сейчас спит. | er schläft jetzt
Ты ездишь правильно. | du fährst richtig
Он ездит неправильно. | er fährt falsch
Ты носишь брюки. | du trägst die Hose
Она носит платье. | sie trägt das Kleid
