Надо много тренироваться. | man muss viel trainieren
Сегодня можно ничего не делать. | heute kann man nichts tun
Это можно сделать в пятницу. | das kann man am Freitag machen
Это надо сделать в среду. | das muss man am Mittwoch machen
Можно в этой комнате курить? | darf man in diesem Zimmer rauchen?
У тебя можно курить? | darf man bei dir rauchen?
Здесь нельзя курить! | hier darf man nicht rauchen!
Здесь строят музей. | hier baut man ein Museum
Этого нельзя делать! | das darf man nicht machen!
Надо много учиться! | man muss viel lernen!
Там строят супермаркет. | dort baut man einen Supermarkt
Где можно купить машину? | wo kann man ein Auto kaufen?
Здесь можно хорошо отдохнуть. | hier kann man sich gut erholen
Что там строят? | was baut man dort?
Здесь играют в волейбол. | hier spielt man Volleyball
Здесь хорошо готовят. | hier kocht man gut
Ничего не видно. | man sieht nichts
Как это сказать по-немецки? | wie sagt man das auf Deutsch?
Что нужно сделать? | was muss man tun?
Как это можно сделать? | wie kann man das machen?
Где здесь можно поесть? | wo kann man hier essen?
Сегодня можно остаться дома. | heute kann man zu Hause bleiben
Завтра не нужно рано вставать. | morgen muss man nicht früh aufstehen
Здесь нельзя громко разговаривать! | hier darf man nicht laut sprechen!
Сегодня тепло. | heute ist es warm
Наконец-то становится прохладно. | endlich wird es kühl
Уже становится светло. | es wird schon hell
Завтра будет холодно. | morgen wird es kalt
Снег идет целый день. | es schneit den ganzen Tag
Каждый день идет дождь. | jeden Tag regnet es
Летом жарко. | im Sommer ist es heiß
Осенью всегда идет дождь. | im Herbst regnet es immer
У нас часто идет дождь. | bei uns regnet es oft
Зимой всегда идет снег. | im Winter schneit es immer
У нас никогда не идет снег. | bei uns schneit es nie
Осенью прохладно. | im Herbst ist es kühl
На севере холодно. | im Norden ist es kalt
На юге жарко. | im Süden ist es heiß
На западе тепло. | im Westen ist es warm
На востоке тоже тепло. | im Osten ist es auch warm
Уже поздно. | es ist schon spät
Еще рано. | es ist noch früh
Завтра будет уже поздно. | morgen wird es schon spät sein
В воскресенье будет тепло. | am Sonntag wird es warm
На улице холодно. | draußen ist es kalt
Дома тепло. | zu Hause ist es warm
На улице светло. | draußen ist es hell
Дома темно. | zu Hause ist es dunkel
Есть здесь телефон? | gibt es hier ein Telefon?
Здесь нет телефона. | hier gibt es kein Telefon
В этой комнате есть стул. | in diesem Zimmer gibt es einen Stuhl
В той комнате нет стула. | in jenem Zimmer gibt es keinen Stuhl
В этом доме три комнаты. | in diesem Haus gibt es drei Zimmer
Сегодня будет суп. | heute gibt es Suppe
Вечером будет мясо с картошкой. | abends gibt es Fleisch mit Kartoffeln
Что сегодня будет? | was gibt es heute?
Есть жизнь на Марсе? | gibt es Leben auf dem Mars?
Здесь еще много еды. | hier gibt es noch viel Essen
В нашем городе есть музей. | in unserer Stadt gibt es ein Museum
В нашем городе нет кинотеатра. | in unserer Stadt gibt es kein Kino
Больше нет надежды. | es gibt keine Hoffnung mehr
Здесь много людей. | hier gibt es viele Menschen
В этой квартире есть детская. | in dieser Wohnung gibt es ein Kinderzimmer
В той квартире нет кухни. | in jener Wohnung gibt es keine Küche
В вашем городе есть церковь? | gibt es in eurer Stadt eine Kirche?
Есть ли здесь бассейн? | gibt es hier ein Schwimmbad?
Есть ли в этом отеле спортзал? | gibt es in diesem Hotel ein Fitnessstudio?
В Германии много красивых городов. | in Deutschland gibt es viele schöne Städte
В Москве много дорогих машин. | in Moskau gibt es viele teure Autos
Есть ли в этой деревне школа? | gibt es in diesem Dorf eine Schule?
Здесь есть музей? | gibt es hier ein Museum?
