Я работаю для тебя. | ich arbeite für dich
Что ты можешь для него сделать? | was kannst du für ihn tun?
Мы поедем без него. | wir fahren ohne ihn
Он приедет без нее. | er kommt ohne sie an
Они скачут через лес. | sie springen durch den Wald
Мы поедем через мост. | wir fahren über die Brücke
Он всегда против нас. | er ist immer gegen uns
Ты всегда против своего брата. | du bist immer gegen deinen Bruder
Мы стоим вокруг стола. | wir stehen um den Tisch herum
Они стоят вокруг него. | sie stehen um ihn herum
Он делает это для нее. | er macht das für sie
Я не поеду без вас. | ich fahre nicht ohne euch
Она приедет без них. | sie kommt ohne sie an
Мы поедем через город. | wir fahren durch die Stadt
Мы играем против них завтра. | wir spielen morgen gegen sie
Мы ставим стулья вокруг стола. | wir stellen die Stühle um den Tisch
Он играет со своим братом. | er spielt mit seinem Bruder
Мы приедем после наших родителей. | wir kommen nach unseren Eltern an
Он идет из школы. | er kommt aus der Schule
Я иду к моему другу. | ich gehe zu meinem Freund
Он идет от своей подруги. | er kommt von seiner Freundin
Мы живем у нашего друга. | wir wohnen bei unserem Freund
Я не был у тебя с твоей свадьбы. | ich war seit deiner Hochzeit nicht bei dir
Мы поедем с нашими родителями. | wir fahren mit unseren Eltern
Я куплю себе машину после моего брата. | ich kaufe mir ein Auto nach meinem Bruder
Я принесу твою сумку из машины. | ich hole deine Tasche aus dem Auto
Мы идем к нашей подруге. | wir gehen zu unserer Freundin
Я еду от моих родителей. | ich fahre von meinen Eltern
Он работает у своего дяди. | er arbeitet bei seinem Onkel
Он работает с твоей сестрой. | er arbeitet mit deiner Schwester
Я не хочу с ним играть. | ich will mit ihm nicht spielen
Я останусь у нее. | ich bleibe bei ihr
Она хочет остаться у своей подружки. | sie will bei ihrer Freundin bleiben
Он не хочет с ней говорить. | er will mit ihr nicht sprechen
Она не хочет идти с вами в кино. | sie will mit euch nicht ins Kino gehen
Все кроме тебя сегодня работают. | alle außer dir arbeiten heute
Сегодня придут все кроме моей сестры. | heute kommen alle außer meiner Schwester
Я приду после фильма. | ich komme nach dem Film
Мы купим стол для нашего сына. | wir kaufen einen Tisch für unseren Sohn
Она играет со своей сестрой. | sie spielt mit ihrer Schwester
Что останется в мире после твоей жизни? | was bleibt in der Welt nach deinem Leben?
Я хочу работать без своей сестры. | ich will ohne meine Schwester arbeiten
Я беру пальто из шкафа. | ich nehme den Mantel aus dem Schrank
Я иду сквозь людей. | ich gehe durch die Menschen
Когда ты пойдешь к своему учителю? | wann gehst du zu deinem Lehrer?
Деревья растут вокруг дома. | die Bäume wachsen um das Haus herum
Я сейчас живу у своих родителей. | ich wohne jetzt bei meinen Eltern
Почему ты живешь у своей бабушки? | warum wohnst du bei deiner Oma?
Почему ты борешься против своей семьи? | warum kämpfst du gegen deine Familie?
Я хочу поиграть с твоей собакой. | ich will mit deinem Hund spielen
Я работаю для своего будущего. | ich arbeite für meine Zukunft
Как ты сможешь победить без твоего друга? | wie kannst du ohne deinen Freund gewinnen?
Мы поедем вместе с нашими друзьями. | wir fahren zusammen mit unseren Freunden
Он может переночевать у своего друга. | er kann bei seinem Freund übernachten
Дети бегут по саду. | die Kinder rennen durch den Garten
Он покупает подарок для своего сына. | er kauft ein Geschenk für seinen Sohn
Она покупает юбку для своей дочки. | sie kauft einen Rock für ihre Tochter
Все приезжают из этой страны. | alle kommen aus diesem Land
Все приезжают из этого города. | alle kommen aus dieser Stadt
Все хотят к тебе прийти. | alle wollen zu dir kommen
С кем ты поедешь завтра? | mit wem fährst du morgen?
Для кого ты готовишь? | für wen kochst du?
Против кого ты борешься? | gegen wen kämpfst du?
К кому вы идете? | zu wem geht ihr?
Против кого они играют? | gegen wen spielen sie?
У кого она живет? | bei wem wohnt sie?
От кого он получает письма? | von wem bekommt er Briefe?
С кем ты танцуешь? | mit wem tanzt du?
Для кого ты покупаешь куклу? | für wen kaufst du die Puppe?
Для кого ты живешь? | für wen lebst du?
У кого ты хочешь жить? | bei wem willst du wohnen?
К кому ты хочешь поехать? | zu wem willst du fahren?
