Я тебя люблю. | ich liebe dich
Ты меня любишь. | du liebst mich
Он ее любит. | er liebt sie
Она его любит. | sie liebt ihn
Мы любим вас. | wir lieben euch
Вы любите нас. | ihr liebt uns
Я люблю их. | ich liebe sie
Они любят меня. | sie lieben mich
Мы их не любим. | wir lieben sie nicht
Они нас не любят. | sie lieben uns nicht
Он меня не любит. | er liebt mich nicht
Я его не люблю. | ich liebe ihn nicht
Ты его не найдешь. | du findest ihn nicht
Он тебя не найдет. | er findet dich nicht
Она тебя не любит. | sie liebt dich nicht
Ты ее не любишь. | du liebst sie nicht
Я показываю город тебе. | ich zeige dir die Stadt
Ты показываешь город мне. | du zeigst mir die Stadt
Она показывает ему город. | sie zeigt ihm die Stadt
Он показывает ей город. | er zeigt ihr die Stadt
Мы показываем кольцо вам. | wir zeigen euch den Ring
Вы показываете кольцо нам. | ihr zeigt uns den Ring
Я показываю кольцо им. | ich zeige ihnen den Ring
Школа мне нравится. | die Schule gefällt mir
Школа тебе не нравится. | die Schule gefällt dir nicht
Квартира ей нравится. | die Wohnung gefällt ihr
Квартира ему не нравится. | die Wohnung gefällt ihm nicht
Пальто нам нравится. | der Mantel gefällt uns
Платье вам не нравится. | das Kleid gefällt euch nicht
Куртка им нравится. | die Jacke gefällt ihnen
Я помогу тебе. | ich helfe dir
Ты поможешь мне. | du hilfst mir
Он поможет ей. | er hilft ihr
Она поможет ему. | sie hilft ihm
Мы поможем вам. | wir helfen euch
Вы поможете нам. | ihr helft uns
Я помогу им. | ich helfe ihnen
Они помогут мне. | sie helfen mir
Я тебя спрашиваю. | ich frage dich
Ты мне отвечаешь. | du antwortest mir
Ты меня спрашиваешь. | du fragst mich
Я тебе отвечаю. | ich antworte dir
Он ее спрашивает. | er fragt sie
Она ему отвечает. | sie antwortet ihm
Она его спрашивает. | sie fragt ihn
Он ей отвечает. | er antwortet ihr
Мы вас спрашиваем. | wir fragen euch
Вы нам отвечаете. | ihr antwortet uns
Вы нас спрашиваете. | ihr fragt uns
Мы вам отвечаем. | wir antworten euch
Я их спрашиваю. | ich frage sie
Они мне отвечают. | sie antworten mir
Ты ее спрашиваешь. | du fragst sie
Она тебе отвечает. | sie antwortet dir
Она тебя спрашивает. | sie fragt dich
Ты ей отвечаешь. | du antwortest ihr
Она их спрашивает. | sie fragt sie
Они ей отвечают. | sie antworten ihr
Мне нравится моя работа! | mir gefällt meine Arbeit!
Тебе нравится твоя машина? | gefällt dir dein Auto?
Моя сестра спрашивает меня. | meine Schwester fragt mich
Мой брат меня не слышит. | mein Bruder hört mich nicht
